Algorithm,TestType,ArraySize,Duration_ms
Shell Sort,Mixed,300,0.4277
Shell Sort,All Negative,300,0.448
Shell Sort,All Positive,300,0.45
Shell Sort,Already Sorted,300,0.2328
Shell Sort,Reverse Sorted,300,0.2404
Shell Sort,Mixed,750,1.8852
Shell Sort,All Negative,750,1.5531
Shell Sort,All Positive,750,1.5248
Shell Sort,Already Sorted,750,0.8096
Shell Sort,Reverse Sorted,750,0.6938
Shell Sort,Mixed,1000,2.0646
Shell Sort,All Negative,1000,1.9498
Shell Sort,All Positive,1000,2.142
Shell Sort,Already Sorted,1000,0.8789
Shell Sort,Reverse Sorted,1000,0.9533
Shell Sort,Mixed,3000,7.1615
Shell Sort,All Negative,3000,7.0015
Shell Sort,All Positive,3000,7.2788
Shell Sort,Already Sorted,3000,2.8834
Shell Sort,Reverse Sorted,3000,3.1997
Shell Sort,Mixed,4500,11.2952
Shell Sort,All Negative,4500,11.7337
Shell Sort,All Positive,4500,11.0542
Shell Sort,Already Sorted,4500,4.9815
Shell Sort,Reverse Sorted,4500,5.0514
Shell Sort,Mixed,6000,16.1362
Shell Sort,All Negative,6000,15.1316
Shell Sort,All Positive,6000,15.4437
Shell Sort,Already Sorted,6000,6.7201
Shell Sort,Reverse Sorted,6000,6.9409
Shell Sort,Mixed,7000,19.9913
Shell Sort,All Negative,7000,20.1131
Shell Sort,All Positive,7000,19.9141
Shell Sort,Already Sorted,7000,8.2166
Shell Sort,Reverse Sorted,7000,8.0937
Shell Sort,Mixed,8000,23.6135
Shell Sort,All Negative,8000,21.9997
Shell Sort,All Positive,8000,22.9275
Shell Sort,Already Sorted,8000,9.0218
Shell Sort,Reverse Sorted,8000,8.8895
Shell Sort,Mixed,9000,26.0186
Shell Sort,All Negative,9000,23.5966
Shell Sort,All Positive,9000,23.1603
Shell Sort,Already Sorted,9000,10.9862
Shell Sort,Reverse Sorted,9000,11.1883
Shell Sort,Mixed,10000,33.2954
Shell Sort,All Negative,10000,28.6119
Shell Sort,All Positive,10000,29.5925
Shell Sort,Already Sorted,10000,11.6073
Shell Sort,Reverse Sorted,10000,12.6205
Shell Sort,Mixed,15000,45.193
Shell Sort,All Negative,15000,42.5108
Shell Sort,All Positive,15000,47.5245
Shell Sort,Already Sorted,15000,17.7595
Shell Sort,Reverse Sorted,15000,17.1365
Shell Sort,Mixed,20000,66.4541
Shell Sort,All Negative,20000,66.5112
Shell Sort,All Positive,20000,63.6943
Shell Sort,Already Sorted,20000,23.9284
